make,f1_macro,f1_weighted,support
TESLA,1.0,1.0,3
Nissan,0.6881128131128132,0.9130078675533221,66
Ford,0.6855273514364423,0.780872460872461,65
Audi,0.6771223029843721,0.7126746835930509,98
Suzuki,0.6683982683982684,0.9016483516483518,52
MINI,0.6398268398268399,0.6265745007680491,31
Toyota,0.6083333333333333,0.8196013289036546,86
MAZDA,0.5754761904761905,0.6909420289855073,46
Honda,0.554154995331466,0.7156746031746032,40
BMW,0.5506110168900867,0.61002496002496,111
Lexus,0.548708309234625,0.71760755584285,51
KIA,0.5456067436836668,0.798771246390294,63
Benz,0.5356764150881799,0.6533397412616314,122
BYD,0.5194805194805194,0.7760891590678825,47
Hyundai,0.4857407407407407,0.6924897119341564,54
