epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.7218,2.41451,0.39251,0.78075,1.92218,0.0033261,0.0033261,0.0033261
2,80.2997,1.77354,0.60856,0.91765,1.20136,0.00659351,0.00659351,0.00659351
3,119.289,1.62492,0.58182,0.88984,1.35791,0.00979491,0.00979491,0.00979491
4,158.221,1.69055,0.62032,0.92834,1.15473,0.009703,0.009703,0.009703
5,197.448,1.55254,0.64492,0.94011,1.17005,0.009604,0.009604,0.009604
6,237.069,1.40233,0.67273,0.94332,0.98152,0.009505,0.009505,0.009505
7,276.197,1.30856,0.73155,0.9508,0.79723,0.009406,0.009406,0.009406
8,315.534,1.21792,0.73048,0.94759,0.82502,0.009307,0.009307,0.009307
9,355.221,1.16642,0.7508,0.96257,0.80932,0.009208,0.009208,0.009208
10,395.051,1.09902,0.78503,0.96471,0.68636,0.009109,0.009109,0.009109
11,434.447,1.05496,0.82674,0.97326,0.53707,0.00901,0.00901,0.00901
12,473.436,0.99546,0.84599,0.98075,0.46664,0.008911,0.008911,0.008911
13,512.737,0.94553,0.82032,0.97219,0.58579,0.008812,0.008812,0.008812
14,552.212,0.91426,0.81497,0.98182,0.58118,0.008713,0.008713,0.008713
15,591.549,0.85108,0.86631,0.98503,0.42054,0.008614,0.008614,0.008614
16,630.857,0.819,0.85989,0.98503,0.43908,0.008515,0.008515,0.008515
17,670.541,0.77195,0.86203,0.97968,0.4628,0.008416,0.008416,0.008416
18,709.982,0.77166,0.85668,0.9861,0.45371,0.008317,0.008317,0.008317
19,749.493,0.71488,0.87701,0.98717,0.37832,0.008218,0.008218,0.008218
20,789.51,0.66902,0.88342,0.98503,0.35007,0.008119,0.008119,0.008119
21,829.668,0.66467,0.89733,0.98503,0.32435,0.00802,0.00802,0.00802
22,869.593,0.63045,0.90374,0.98717,0.31068,0.007921,0.007921,0.007921
23,909.262,0.61022,0.91123,0.98075,0.30491,0.007822,0.007822,0.007822
24,949.211,0.58874,0.90374,0.98824,0.31223,0.007723,0.007723,0.007723
25,989.202,0.5731,0.8877,0.99037,0.34538,0.007624,0.007624,0.007624
26,1028.65,0.54664,0.9123,0.99251,0.30161,0.007525,0.007525,0.007525
27,1068.22,0.54636,0.9016,0.98717,0.2963,0.007426,0.007426,0.007426
28,1108.02,0.51286,0.90802,0.99037,0.29089,0.007327,0.007327,0.007327
29,1147.8,0.50649,0.90695,0.99144,0.28363,0.007228,0.007228,0.007228
30,1187.36,0.484,0.90374,0.99358,0.2565,0.007129,0.007129,0.007129
31,1227.1,0.4517,0.91979,0.99037,0.23274,0.00703,0.00703,0.00703
32,1266.71,0.44927,0.92086,0.99037,0.2754,0.006931,0.006931,0.006931
33,1306.35,0.4444,0.92406,0.99358,0.26137,0.006832,0.006832,0.006832
34,1345.64,0.44165,0.92941,0.9861,0.24932,0.006733,0.006733,0.006733
35,1385.37,0.41055,0.93476,0.98824,0.24853,0.006634,0.006634,0.006634
36,1425.3,0.37689,0.92941,0.99144,0.26957,0.006535,0.006535,0.006535
37,1465.09,0.36949,0.92834,0.99144,0.23389,0.006436,0.006436,0.006436
38,1504.78,0.36554,0.94011,0.99358,0.21895,0.006337,0.006337,0.006337
39,1544.48,0.36515,0.93476,0.99679,0.21996,0.006238,0.006238,0.006238
40,1584.31,0.33963,0.9369,0.9893,0.22552,0.006139,0.006139,0.006139
41,1623.74,0.34894,0.93904,0.99358,0.2062,0.00604,0.00604,0.00604
42,1663.1,0.33464,0.93904,0.99465,0.19985,0.005941,0.005941,0.005941
43,1702.87,0.33482,0.93797,0.9893,0.20124,0.005842,0.005842,0.005842
44,1743.05,0.30953,0.93797,0.99251,0.19629,0.005743,0.005743,0.005743
45,1782.31,0.31416,0.94332,0.99465,0.17769,0.005644,0.005644,0.005644
46,1821.8,0.29262,0.94225,0.99144,0.1867,0.005545,0.005545,0.005545
47,1862.5,0.28758,0.94759,0.99358,0.19457,0.005446,0.005446,0.005446
48,1902.36,0.29545,0.94332,0.9893,0.19114,0.005347,0.005347,0.005347
49,1941.98,0.26982,0.94973,0.99465,0.15427,0.005248,0.005248,0.005248
50,1981.48,0.2705,0.94332,0.99251,0.17781,0.005149,0.005149,0.005149
51,2021.22,0.25938,0.94545,0.99251,0.18418,0.00505,0.00505,0.00505
52,2060.86,0.2655,0.94759,0.99465,0.15673,0.004951,0.004951,0.004951
