model,f1_macro,precision,recall,support
alphard,1.0,1.0,1.0,3.0
explorer,1.0,1.0,1.0,3.0
kia k5 hybrid,1.0,1.0,1.0,2.0
kia k5,1.0,1.0,1.0,3.0
kia k2 sedan,1.0,1.0,1.0,3.0
jimny,1.0,1.0,1.0,3.0
honda insight,1.0,1.0,1.0,3.0
grand vitara,1.0,1.0,1.0,5.0
grand santafe,1.0,1.0,1.0,1.0
alto,1.0,1.0,1.0,4.0
ford f-250,1.0,1.0,1.0,2.0
ford f-150,1.0,1.0,1.0,3.0
focus st,1.0,1.0,1.0,2.0
fj cruiser,1.0,1.0,1.0,4.0
fit hybrid,1.0,1.0,1.0,2.0
cultus,1.0,1.0,1.0,6.0
landy,1.0,1.0,1.0,4.0
coaster,1.0,1.0,1.0,2.0
camry hybrid,1.0,1.0,1.0,1.0
byd s6,1.0,1.0,1.0,3.0
byd g3r,1.0,1.0,1.0,1.0
byd f0,1.0,1.0,1.0,5.0
byd e6,1.0,1.0,1.0,3.0
bwm z4,1.0,1.0,1.0,5.0
bwm x5 m,1.0,1.0,1.0,3.0
bwm i3,1.0,1.0,1.0,2.0
bwm 7 series hybrid,1.0,1.0,1.0,2.0
bwm 5 series hybrid,1.0,1.0,1.0,1.0
bwm 1 series m,1.0,1.0,1.0,1.0
bwm 1 series couple,1.0,1.0,1.0,1.0
kia vq-r,1.0,1.0,1.0,1.0
lcruiser,1.0,1.0,1.0,3.0
bilian,1.0,1.0,1.0,3.0
nissan gt-r,1.0,1.0,1.0,6.0
wagon,1.0,1.0,1.0,1.0
tucson,1.0,1.0,1.0,3.0
transit,1.0,1.0,1.0,3.0
toyota 4 rinner,1.0,1.0,1.0,3.0
splash,1.0,1.0,1.0,1.0
soul,1.0,1.0,1.0,5.0
sonata hybrid,1.0,1.0,1.0,1.0
sequoia,1.0,1.0,1.0,3.0
qin,1.0,1.0,1.0,2.0
prius,1.0,1.0,1.0,3.0
prado,1.0,1.0,1.0,3.0
patrol,1.0,1.0,1.0,4.0
paladin,1.0,1.0,1.0,3.0
nissan d22 pickup,1.0,1.0,1.0,1.0
levin,1.0,1.0,1.0,1.0
nissan 370z,1.0,1.0,1.0,4.0
new sylphy,1.0,1.0,1.0,2.0
model s,1.0,1.0,1.0,3.0
mini jcw coupe,1.0,1.0,1.0,1.0
mini jcw,1.0,1.0,1.0,3.0
mazda cx-5,1.0,1.0,1.0,3.0
mazda 5,1.0,1.0,1.0,3.0
ma chi,1.0,1.0,1.0,2.0
livina,1.0,1.0,1.0,2.0
liana sedan,1.0,1.0,1.0,1.0
liana a6 sedan,1.0,1.0,1.0,1.0
lexus ls hybrid,1.0,1.0,1.0,2.0
lexus is convertible,1.0,1.0,1.0,3.0
bwm 1 series convertible,1.0,1.0,1.0,1.0
zelas,1.0,1.0,1.0,3.0
audi s7,1.0,1.0,1.0,2.0
audi rs5,1.0,1.0,1.0,3.0
audi rs7,1.0,1.0,1.0,2.0
atenza,1.0,1.0,1.0,2.0
avante,1.0,1.0,1.0,3.0
audi a3 sedan,1.0,1.0,1.0,1.0
quest,0.9230769230769231,0.8571428571428571,1.0,6.0
lexus rx,0.9230769230769231,0.8571428571428571,1.0,6.0
bwm i8,0.9090909090909091,0.8333333333333334,1.0,5.0
previa,0.9090909090909091,0.8333333333333334,1.0,5.0
new focus sedan,0.9090909090909091,0.8333333333333334,1.0,5.0
audi q7,0.9090909090909091,0.8333333333333334,1.0,5.0
teana,0.9090909090909091,0.8333333333333334,1.0,5.0
veracruz,0.9090909090909091,0.8333333333333334,1.0,5.0
benz glk class,0.9090909090909091,1.0,0.8333333333333334,6.0
qashqai,0.8888888888888888,1.0,0.8,5.0
nissan juke,0.8888888888888888,1.0,0.8,5.0
benz m class amg,0.8888888888888888,0.8,1.0,4.0
benz g class,0.8888888888888888,0.8,1.0,4.0
audi s8,0.8888888888888888,0.8,1.0,4.0
benz sls class amg,0.8888888888888888,0.8,1.0,4.0
benz c class,0.8888888888888888,0.8,1.0,4.0
sportage,0.8888888888888888,0.8,1.0,4.0
