epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.39111,2.50819,0.16129,0.6129,2.31161,0.00010005,0.00010005,0.00010005
2,3.95088,2.15322,0.41935,0.83871,1.98691,0.000204723,0.000204723,0.000204723
3,5.47722,1.8355,0.54839,0.90323,1.57256,0.000307283,0.000307283,0.000307283
4,7.00204,1.55369,0.64516,0.96774,1.19743,0.00040773,0.00040773,0.00040773
5,8.61138,1.20003,0.70968,1,0.90488,0.000506064,0.000506064,0.000506064
6,10.1521,0.98016,0.87097,1,0.62037,0.000602284,0.000602284,0.000602284
7,11.6978,0.74144,0.83871,1,0.5363,0.00062738,0.00062738,0.00062738
8,13.2123,0.56517,0.80645,1,0.50725,0.000620777,0.000620777,0.000620777
9,14.7463,0.49418,0.90323,1,0.35781,0.000614174,0.000614174,0.000614174
10,16.3251,0.36968,0.87097,1,0.3414,0.00060757,0.00060757,0.00060757
11,17.8903,0.33071,0.83871,1,0.37113,0.000600967,0.000600967,0.000600967
12,19.4109,0.23561,0.90323,1,0.30984,0.000594364,0.000594364,0.000594364
13,20.9553,0.2557,0.87097,1,0.36909,0.00058776,0.00058776,0.00058776
14,22.5161,0.16642,0.87097,1,0.44993,0.000581157,0.000581157,0.000581157
15,24.044,0.22608,0.87097,1,0.49279,0.000574554,0.000574554,0.000574554
16,25.5543,0.17166,0.87097,1,0.34494,0.00056795,0.00056795,0.00056795
17,27.1167,0.19751,0.80645,1,0.38352,0.000561347,0.000561347,0.000561347
18,28.6346,0.14594,0.90323,1,0.37989,0.000554744,0.000554744,0.000554744
19,30.2164,0.14571,0.90323,1,0.34335,0.000548141,0.000548141,0.000548141
20,31.7968,0.149,0.83871,1,0.34264,0.000541537,0.000541537,0.000541537
21,33.3731,0.11342,0.87097,1,0.27754,0.000534934,0.000534934,0.000534934
22,34.9073,0.09385,0.93548,1,0.17847,0.000528331,0.000528331,0.000528331
