,precision,recall,f1-score,support
convertible,0.6666666666666666,0.8,0.7272727272727273,5.0
estate,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
fastback,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
hardtop_convertible,0.6666666666666666,0.36363636363636365,0.47058823529411764,11.0
hatchback,0.7222222222222222,0.78,0.75,50.0
minibus,0.8333333333333334,1.0,0.9090909090909091,5.0
mpv,0.9090909090909091,0.8,0.851063829787234,25.0
pickup,0.5714285714285714,0.8,0.6666666666666666,5.0
sedan,0.8613138686131386,0.944,0.9007633587786259,125.0
sports,0.9166666666666666,0.5789473684210527,0.7096774193548387,19.0
suv,0.9253731343283582,0.8611111111111112,0.8920863309352518,72.0
accuracy,0.8368580060422961,0.8368580060422961,0.8368580060422961,0.8368580060422961
macro avg,0.7476615627756078,0.7344736358803344,0.7298840571541384,331.0
weighted avg,0.8405940360840205,0.8368580060422961,0.8331653307869364,331.0
