epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,163.56,1.74684,0.6,0.92424,1.33643,0.000220994,0.000220994,0.000220994
2,265.385,1.25084,0.66061,0.96364,0.96001,0.000438938,0.000438938,0.000438938
3,366.387,1.00532,0.69394,0.98182,1.00004,0.000652481,0.000652481,0.000652481
4,467.779,0.88387,0.60303,0.96364,1.23251,0.00064719,0.00064719,0.00064719
5,569.12,0.79688,0.70303,0.98788,0.82046,0.000640587,0.000640587,0.000640587
6,670.631,0.72286,0.72727,0.98182,0.85685,0.000633983,0.000633983,0.000633983
7,773.352,0.65046,0.73636,0.98182,0.77293,0.00062738,0.00062738,0.00062738
8,873.671,0.59177,0.71212,0.98485,0.88994,0.000620777,0.000620777,0.000620777
9,973.054,0.52703,0.72121,0.99697,0.92226,0.000614174,0.000614174,0.000614174
10,1076.66,0.53342,0.71212,0.97879,0.91224,0.00060757,0.00060757,0.00060757
11,1182.74,0.46495,0.73333,0.99091,0.88576,0.000600967,0.000600967,0.000600967
12,1285.79,0.43579,0.7697,0.98182,0.72351,0.000594364,0.000594364,0.000594364
13,1388.11,0.43294,0.76667,0.99091,0.79841,0.00058776,0.00058776,0.00058776
14,1491.11,0.39666,0.79091,0.98485,0.71071,0.000581157,0.000581157,0.000581157
15,1593.68,0.37469,0.75758,0.98485,0.72468,0.000574554,0.000574554,0.000574554
16,1698.34,0.3507,0.78182,0.99091,0.73036,0.00056795,0.00056795,0.00056795
17,1803.69,0.35938,0.77273,0.99091,0.78423,0.000561347,0.000561347,0.000561347
18,1906.64,0.32991,0.75758,0.99091,0.7675,0.000554744,0.000554744,0.000554744
19,2009.57,0.30147,0.78485,0.98788,0.81484,0.000548141,0.000548141,0.000548141
20,2112.9,0.29917,0.77273,0.99091,0.77452,0.000541537,0.000541537,0.000541537
21,2214.22,0.29801,0.79091,0.99091,0.73151,0.000534934,0.000534934,0.000534934
22,2317.93,0.26565,0.77879,0.99697,0.77144,0.000528331,0.000528331,0.000528331
23,2420.28,0.24688,0.74242,0.99091,0.84031,0.000521727,0.000521727,0.000521727
24,2522.05,0.25408,0.78485,0.99091,0.7404,0.000515124,0.000515124,0.000515124
25,2623.19,0.24925,0.74242,0.99091,0.92138,0.000508521,0.000508521,0.000508521
26,2725.69,0.24547,0.79394,0.99091,0.85584,0.000501917,0.000501917,0.000501917
27,2828.41,0.21767,0.77879,0.99091,0.86282,0.000495314,0.000495314,0.000495314
28,2931.07,0.22356,0.77273,0.99394,0.78638,0.000488711,0.000488711,0.000488711
29,3032.51,0.22006,0.75758,0.99394,0.78863,0.000482108,0.000482108,0.000482108
30,3132.7,0.22925,0.74242,0.99091,0.96247,0.000475504,0.000475504,0.000475504
31,3232.81,0.17699,0.78788,0.99697,0.89691,0.000468901,0.000468901,0.000468901
32,3332.62,0.19411,0.79091,0.99697,0.81702,0.000462298,0.000462298,0.000462298
33,3432.61,0.20871,0.76364,0.99394,0.98526,0.000455694,0.000455694,0.000455694
34,3534.12,0.17655,0.78182,0.99394,0.79181,0.000449091,0.000449091,0.000449091
35,3635.41,0.17117,0.81818,0.99394,0.6708,0.000442488,0.000442488,0.000442488
36,3736.59,0.16269,0.78788,0.99697,0.74474,0.000435884,0.000435884,0.000435884
37,3838.18,0.15458,0.8,0.98788,0.76915,0.000429281,0.000429281,0.000429281
38,3940.62,0.15009,0.80606,0.99394,0.69827,0.000422678,0.000422678,0.000422678
39,4044.67,0.1471,0.8,0.99091,0.81291,0.000416075,0.000416075,0.000416075
40,4146.2,0.14763,0.82424,0.98788,0.70206,0.000409471,0.000409471,0.000409471
41,4248.57,0.1587,0.81515,0.99394,0.83047,0.000402868,0.000402868,0.000402868
42,4350.81,0.14431,0.83636,0.99091,0.67465,0.000396265,0.000396265,0.000396265
43,4451.38,0.14426,0.80909,0.98788,0.8422,0.000389661,0.000389661,0.000389661
44,4552.49,0.12958,0.83939,0.99091,0.71981,0.000383058,0.000383058,0.000383058
45,4653.44,0.13339,0.82121,0.99091,0.7998,0.000376455,0.000376455,0.000376455
46,4755.1,0.13236,0.81818,0.98788,0.8851,0.000369851,0.000369851,0.000369851
47,4856.76,0.11545,0.83333,0.98485,0.77741,0.000363248,0.000363248,0.000363248
48,4959.79,0.10901,0.82121,0.99394,0.80985,0.000356645,0.000356645,0.000356645
49,5061.05,0.09793,0.82727,0.99394,0.81281,0.000350042,0.000350042,0.000350042
50,5160.97,0.11295,0.83333,0.99394,0.76805,0.000343438,0.000343438,0.000343438
51,5261.09,0.09796,0.83333,0.97879,0.89377,0.000336835,0.000336835,0.000336835
52,5361.69,0.1025,0.82424,0.99091,0.81614,0.000330232,0.000330232,0.000330232
53,5461.8,0.09808,0.83636,0.99394,0.78758,0.000323628,0.000323628,0.000323628
54,5562.1,0.10923,0.8,0.99697,0.97085,0.000317025,0.000317025,0.000317025
55,5662.17,0.09773,0.82727,0.99394,0.76895,0.000310422,0.000310422,0.000310422
56,5762.65,0.0997,0.81818,0.99091,0.74307,0.000303818,0.000303818,0.000303818
57,5863.26,0.0674,0.83636,0.99394,0.84629,0.000297215,0.000297215,0.000297215
58,5963.82,0.11855,0.81818,0.98788,0.79428,0.000290612,0.000290612,0.000290612
59,6064.39,0.10594,0.82424,0.99091,0.87348,0.000284009,0.000284009,0.000284009
60,6164.71,0.08254,0.81212,0.99394,0.77472,0.000277405,0.000277405,0.000277405
61,6265.55,0.07224,0.84848,0.98788,0.74749,0.000270802,0.000270802,0.000270802
62,6365.74,0.07756,0.84848,0.98788,0.82199,0.000264199,0.000264199,0.000264199
63,6465.96,0.08375,0.84242,0.99697,0.74259,0.000257595,0.000257595,0.000257595
64,6566.29,0.06728,0.83636,0.99394,0.75874,0.000250992,0.000250992,0.000250992
65,6666.01,0.06927,0.83636,0.99091,0.81325,0.000244389,0.000244389,0.000244389
66,6765.94,0.07967,0.8303,0.99091,0.84935,0.000237785,0.000237785,0.000237785
67,6865.25,0.07242,0.82121,0.98485,0.84672,0.000231182,0.000231182,0.000231182
68,6964.34,0.06898,0.81212,0.98182,0.93124,0.000224579,0.000224579,0.000224579
69,7063.96,0.07007,0.81818,0.98485,0.78498,0.000217976,0.000217976,0.000217976
70,7163.53,0.06354,0.83333,0.98788,0.88448,0.000211372,0.000211372,0.000211372
71,7262.89,0.06062,0.81818,0.98788,0.83531,0.000204769,0.000204769,0.000204769
72,7362.81,0.06319,0.83939,0.99091,0.83135,0.000198166,0.000198166,0.000198166
73,7462.25,0.05949,0.8303,0.98788,0.8602,0.000191562,0.000191562,0.000191562
74,7561.43,0.06785,0.82424,0.99697,0.75167,0.000184959,0.000184959,0.000184959
75,7661.42,0.0597,0.8303,0.99091,1.03358,0.000178356,0.000178356,0.000178356
76,7760.99,0.05718,0.82727,0.99394,0.84297,0.000171752,0.000171752,0.000171752
77,7860.66,0.05815,0.81515,0.99394,0.86803,0.000165149,0.000165149,0.000165149
78,7960.01,0.05748,0.8303,0.99394,0.81324,0.000158546,0.000158546,0.000158546
79,8059.04,0.0504,0.84242,0.99394,0.8179,0.000151943,0.000151943,0.000151943
80,8158.23,0.05409,0.85455,0.99697,0.75566,0.000145339,0.000145339,0.000145339
81,8257.47,0.04584,0.84848,0.99697,0.90864,0.000138736,0.000138736,0.000138736
82,8357.52,0.04079,0.83333,0.99394,0.77312,0.000132133,0.000132133,0.000132133
83,8456.84,0.04807,0.83939,0.99091,0.80879,0.000125529,0.000125529,0.000125529
84,8556.27,0.06149,0.8303,0.99394,0.76111,0.000118926,0.000118926,0.000118926
85,8655.69,0.04917,0.8303,0.99394,0.88293,0.000112323,0.000112323,0.000112323
86,8755.57,0.03957,0.83636,0.99394,0.80331,0.00010572,0.00010572,0.00010572
87,8855.07,0.05015,0.84848,0.99697,0.88991,9.91162e-05,9.91162e-05,9.91162e-05
88,8954.48,0.05938,0.85152,0.99091,0.8566,9.25129e-05,9.25129e-05,9.25129e-05
89,9053.7,0.0428,0.84848,0.99091,0.87513,8.59096e-05,8.59096e-05,8.59096e-05
90,9153.38,0.04198,0.84848,0.99394,0.81554,7.93063e-05,7.93063e-05,7.93063e-05
91,9252.54,0.03744,0.84848,0.99394,0.79121,7.2703e-05,7.2703e-05,7.2703e-05
92,9351.93,0.04843,0.84848,0.99394,0.80617,6.60997e-05,6.60997e-05,6.60997e-05
93,9451.6,0.04072,0.84545,0.99394,0.84287,5.94964e-05,5.94964e-05,5.94964e-05
94,9551.22,0.04133,0.85152,0.99394,0.78393,5.28931e-05,5.28931e-05,5.28931e-05
95,9653.37,0.03688,0.84848,0.99394,0.81972,4.62898e-05,4.62898e-05,4.62898e-05
96,9755.88,0.0432,0.84545,0.99394,0.8284,3.96865e-05,3.96865e-05,3.96865e-05
97,9856.8,0.03727,0.84242,0.99394,0.80481,3.30832e-05,3.30832e-05,3.30832e-05
98,9957.39,0.03403,0.84848,0.99394,0.85829,2.64799e-05,2.64799e-05,2.64799e-05
99,10058.3,0.03756,0.83939,0.99394,0.87241,1.98766e-05,1.98766e-05,1.98766e-05
100,10161,0.0264,0.84242,0.99394,0.9976,1.32733e-05,1.32733e-05,1.32733e-05
