,precision,recall,f1-score,support
audi,1.0,1.0,1.0,23.0
benz,0.9375,1.0,0.967741935483871,30.0
bmw,0.9642857142857143,0.9310344827586207,0.9473684210526315,29.0
byd,1.0,1.0,1.0,12.0
ford,1.0,0.9285714285714286,0.9629629629629629,14.0
honda,1.0,0.9,0.9473684210526315,10.0
hyundai,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
kia,1.0,1.0,1.0,15.0
lexus,0.9166666666666666,1.0,0.9565217391304348,11.0
mazda,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
mini,0.875,1.0,0.9333333333333333,7.0
nissan,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
suzuki,1.0,0.9166666666666666,0.9565217391304348,12.0
toyota,0.95,0.95,0.95,20.0
accuracy,0.9547511312217195,0.9547511312217195,0.9547511312217195,0.9547511312217195
macro avg,0.9519477546263259,0.9507206258437784,0.9504024811401773,221.0
weighted avg,0.9560978237448826,0.9547511312217195,0.9547259787347673,221.0
