epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,483.025,2.42104,0.41404,0.78128,1.85187,0.00332656,0.00332656,0.00332656
2,783.728,1.86213,0.46592,0.84028,1.66245,0.00659396,0.00659396,0.00659396
3,1083.61,1.7459,0.51272,0.85249,1.53947,0.00979536,0.00979536,0.00979536
4,1387.67,1.82858,0.48932,0.85453,1.59068,0.009703,0.009703,0.009703
5,1695.55,1.73336,0.50865,0.84537,1.59567,0.009604,0.009604,0.009604
6,2002.27,1.64936,0.53204,0.88606,1.42215,0.009505,0.009505,0.009505
7,2304.77,1.53886,0.59512,0.8942,1.32647,0.009406,0.009406,0.009406
8,2610.39,1.44066,0.6002,0.89624,1.27667,0.009307,0.009307,0.009307
9,2913.48,1.41563,0.61648,0.8708,1.28184,0.009208,0.009208,0.009208
10,3212.82,1.33177,0.62665,0.92269,1.12549,0.009109,0.009109,0.009109
11,3513.92,1.27232,0.65412,0.9237,1.06234,0.00901,0.00901,0.00901
12,3816.38,1.19864,0.69481,0.93998,0.94215,0.008911,0.008911,0.008911
13,4123.56,1.16833,0.68159,0.94201,0.99686,0.008812,0.008812,0.008812
14,4430.38,1.11535,0.69278,0.93896,0.97334,0.008713,0.008713,0.008713
15,4731.5,1.07946,0.72126,0.94914,0.84611,0.008614,0.008614,0.008614
16,5031.45,1.02625,0.70905,0.94405,0.90116,0.008515,0.008515,0.008515
17,5331.66,0.99498,0.74568,0.95829,0.77067,0.008416,0.008416,0.008416
18,5630.98,0.95938,0.73957,0.94812,0.79793,0.008317,0.008317,0.008317
19,5931.26,0.92422,0.75788,0.95524,0.77474,0.008218,0.008218,0.008218
20,6230.72,0.89106,0.76094,0.95524,0.74973,0.008119,0.008119,0.008119
21,6531.16,0.88805,0.76094,0.96236,0.75856,0.00802,0.00802,0.00802
22,6830.4,0.8223,0.76195,0.96236,0.74235,0.007921,0.007921,0.007921
23,7130.01,0.81792,0.78433,0.97253,0.64059,0.007822,0.007822,0.007822
24,7429.25,0.77469,0.79044,0.9705,0.70811,0.007723,0.007723,0.007723
25,7728.65,0.78004,0.77416,0.96236,0.72099,0.007624,0.007624,0.007624
26,8029.2,0.75084,0.79349,0.9705,0.63998,0.007525,0.007525,0.007525
27,8328.11,0.71869,0.79756,0.97457,0.61934,0.007426,0.007426,0.007426
28,8628.47,0.70389,0.81689,0.98067,0.55406,0.007327,0.007327,0.007327
29,8927.16,0.68041,0.79756,0.97558,0.58437,0.007228,0.007228,0.007228
30,9225.3,0.67121,0.81078,0.96643,0.61045,0.007129,0.007129,0.007129
31,9524.02,0.66908,0.80773,0.96541,0.61176,0.00703,0.00703,0.00703
32,9823.8,0.61829,0.82401,0.97965,0.5672,0.006931,0.006931,0.006931
33,10123.1,0.61046,0.82299,0.97457,0.55851,0.006832,0.006832,0.006832
34,10422.7,0.59507,0.83215,0.97457,0.51666,0.006733,0.006733,0.006733
35,10724.1,0.59651,0.83316,0.97965,0.4952,0.006634,0.006634,0.006634
36,11026.1,0.55772,0.84232,0.98271,0.50534,0.006535,0.006535,0.006535
37,11335.5,0.53751,0.8413,0.9766,0.49629,0.006436,0.006436,0.006436
38,11770.7,0.54032,0.84232,0.98271,0.49637,0.006337,0.006337,0.006337
39,12199.2,0.53781,0.84944,0.97965,0.50139,0.006238,0.006238,0.006238
40,12495.3,0.50839,0.85656,0.98372,0.46531,0.006139,0.006139,0.006139
41,12796.5,0.47996,0.84842,0.98067,0.4592,0.00604,0.00604,0.00604
42,13097.1,0.47219,0.86673,0.98372,0.43418,0.005941,0.005941,0.005941
