,precision,recall,f1-score,support
audi,0.9428571428571428,1.0,0.9705882352941176,33.0
benz,0.9148936170212766,0.9772727272727273,0.945054945054945,44.0
bmw,0.9333333333333333,1.0,0.9655172413793104,42.0
byd,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
ford,0.8636363636363636,0.9047619047619048,0.8837209302325582,21.0
honda,1.0,0.9333333333333333,0.9655172413793104,15.0
hyundai,0.9,0.8571428571428571,0.8780487804878049,21.0
kia,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
lexus,1.0,0.9411764705882353,0.9696969696969697,17.0
mazda,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
mini,1.0,1.0,1.0,11.0
nissan,1.0,0.8636363636363636,0.926829268292683,22.0
suzuki,1.0,1.0,1.0,18.0
toyota,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
accuracy,0.9424242424242424,0.9424242424242424,0.9424242424242424,0.9424242424242424
macro avg,0.9508325241302799,0.9362862848488678,0.9424498736110059,330.0
weighted avg,0.9439344087441758,0.9424242424242424,0.9420203532312347,330.0
