epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,151.889,2.56962,0.32931,0.70091,2.16201,0.000184217,0.000184217,0.000184217
2,254.629,1.88901,0.54683,0.87915,1.44768,0.000365892,0.000365892,0.000365892
3,355.405,1.35071,0.67372,0.94562,0.94087,0.000543897,0.000543897,0.000543897
4,456.497,1.0283,0.75529,0.96375,0.7334,0.000539487,0.000539487,0.000539487
5,556.202,0.83492,0.75529,0.97583,0.76892,0.000533982,0.000533982,0.000533982
6,656.268,0.73297,0.8006,0.99094,0.62514,0.000528478,0.000528478,0.000528478
7,756.402,0.65653,0.81269,0.98187,0.5722,0.000522974,0.000522974,0.000522974
8,856.589,0.5579,0.85196,0.98489,0.48606,0.000517469,0.000517469,0.000517469
9,957.011,0.54691,0.87613,0.99094,0.42606,0.000511965,0.000511965,0.000511965
10,1057.79,0.50216,0.87613,0.99094,0.38522,0.00050646,0.00050646,0.00050646
11,1156.62,0.4415,0.87613,0.99094,0.38164,0.000500956,0.000500956,0.000500956
12,1255.35,0.40745,0.87613,0.98792,0.44606,0.000495452,0.000495452,0.000495452
13,1354.28,0.41621,0.87009,0.98792,0.38171,0.000489947,0.000489947,0.000489947
14,1452.93,0.39214,0.89426,0.98187,0.34719,0.000484443,0.000484443,0.000484443
15,1551.7,0.35286,0.87311,0.98489,0.50185,0.000478938,0.000478938,0.000478938
16,1650.48,0.31033,0.90634,0.98792,0.32895,0.000473434,0.000473434,0.000473434
17,1749.34,0.32692,0.86707,0.98489,0.41263,0.00046793,0.00046793,0.00046793
18,1848.19,0.31544,0.88822,0.98489,0.37543,0.000462425,0.000462425,0.000462425
19,1947.12,0.28522,0.90332,0.97281,0.37192,0.000456921,0.000456921,0.000456921
20,2045.93,0.29192,0.90332,0.98792,0.33205,0.000451416,0.000451416,0.000451416
21,2144.8,0.29947,0.8852,0.98489,0.41436,0.000445912,0.000445912,0.000445912
22,2243.61,0.26936,0.87915,0.98792,0.47544,0.000440408,0.000440408,0.000440408
23,2342.37,0.24306,0.90634,0.98489,0.38811,0.000434903,0.000434903,0.000434903
24,2441.12,0.25647,0.88822,0.97583,0.42321,0.000429399,0.000429399,0.000429399
25,2539.96,0.25476,0.92447,0.98489,0.29642,0.000423894,0.000423894,0.000423894
26,2638.85,0.23763,0.92145,0.98792,0.36463,0.00041839,0.00041839,0.00041839
27,2737.69,0.21375,0.92145,0.98489,0.32443,0.000412886,0.000412886,0.000412886
28,2836.56,0.22946,0.90332,0.98489,0.36759,0.000407381,0.000407381,0.000407381
29,2935.36,0.20235,0.92447,0.99396,0.26929,0.000401877,0.000401877,0.000401877
30,3034.21,0.22192,0.93353,0.99094,0.31422,0.000396372,0.000396372,0.000396372
31,3133.05,0.19914,0.91239,0.99094,0.34015,0.000390868,0.000390868,0.000390868
32,3231.97,0.23158,0.91541,0.97583,0.4177,0.000385364,0.000385364,0.000385364
33,3330.84,0.18713,0.90634,0.98187,0.39199,0.000379859,0.000379859,0.000379859
34,3429.7,0.19994,0.92749,0.98489,0.31223,0.000374355,0.000374355,0.000374355
35,3528.56,0.17704,0.93353,0.98792,0.28677,0.00036885,0.00036885,0.00036885
36,3627.46,0.18299,0.91541,0.97885,0.33359,0.000363346,0.000363346,0.000363346
37,3726.17,0.17776,0.91239,0.98792,0.33491,0.000357842,0.000357842,0.000357842
38,3824.94,0.18112,0.90937,0.98792,0.44842,0.000352337,0.000352337,0.000352337
